currentTick;currentActivePowerConsumption;currentActivePowerPv;currentActivePowerPvAutoConsumption;currentActivePowerPvFeedIn;currentActivePowerChp;currentActivePowerChpAutoConsumption;currentActivePowerChpFeedIn;currentActivePowerBatteryCharging;currentActivePowerBatteryDischarging;currentActivePowerBatteryAutoConsumption;currentActivePowerBatteryFeedIn;currentActivePowerExternal;currentReactivePowerExternal;currentGasPowerExternal;epsCosts;plsCosts;gasCosts;feedInCostsPV;feedInCostsCHP;autoConsumptionCosts;currentPvFeedInPrice
3660;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
3720;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
3780;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
3840;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
3900;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
3960;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4020;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4080;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4140;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4200;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4260;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4320;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4380;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4440;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4500;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;172.0;24.0;0.0;0.0012469999999999998;0.0;0.0;0.0;0.0;0.0;10.0
4560;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
4620;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
4680;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
4740;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
4800;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
4860;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
4920;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
4980;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
5040;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
5100;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
5160;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
5220;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
5280;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
5340;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
5400;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;163.0;23.0;0.0;0.00118175;0.0;0.0;0.0;0.0;0.0;10.0
5460;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0;22.0;0.0;0.001131;0.0;0.0;0.0;0.0;0.0;10.0
5520;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0;22.0;0.0;0.001131;0.0;0.0;0.0;0.0;0.0;10.0
5580;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0;22.0;0.0;0.001131;0.0;0.0;0.0;0.0;0.0;10.0
5640;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0;22.0;0.0;0.001131;0.0;0.0;0.0;0.0;0.0;10.0
5700;156.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.0;22.0;0.0;0.001131;0.0;0.0;0.0;0.0;0.0;10.0
